,carrier,distance,travel_time,segment,betweenness,shape
1219,United Air Lines Inc.,1901,1768,"('PVG', 'GUM')",0.0038737795000929644,"[[121.805000305, 31.1434001923], [144.796005249, 13.4834003448]]"
1220,Federal Express Corporation,7433,22830,"('PVG', 'MEM')",0.00047268074691888076,"[[121.805000305, 31.1434001923], [-89.9766998291, 35.0424003601]]"
1221,VistaJet Limited,7374,0,"('PVG', 'MMU')",0.0004125940046855466,"[[121.805000305, 31.1434001923], [-74.4149017334, 40.7994003296]]"
1222,Federal Express Corporation,6153,14003,"('PVG', 'OAK')",0.00023441119671731213,"[[121.805000305, 31.1434001923], [-122.221000671, 37.7212982178]]"
1223,United Air Lines Inc.,7057,24164,"('PVG', 'ORD')",0.0008058470443400245,"[[121.805000305, 31.1434001923], [-87.90480042, 41.97859955]]"
1224,United Air Lines Inc.,6151,41238,"('PVG', 'SFO')",0.0005321440044937179,"[[121.805000305, 31.1434001923], [-122.375, 37.6189994812]]"
1225,Delta Air Lines Inc.,1557,7562,"('PVR', 'ATL')",0.0007034847141168463,"[[-105.253997803, 20.6800994873], [-84.4281005859, 33.6366996765]]"
1226,American Airlines Inc.,808,170,"('PVR', 'AUS')",0.0004688805241341069,"[[-105.253997803, 20.6800994873], [-97.6698989868, 30.1944999695]]"
1227,Chartright Air Inc.,2476,0,"('PVR', 'BED')",0.00032742377750353364,"[[-105.253997803, 20.6800994873], [-71.28900146, 42.47000122]]"
1228,Delta Air Lines Inc.,1440,236,"('PVR', 'BHM')",0.0004732014223347852,"[[-105.253997803, 20.6800994873], [-86.75350189, 33.56290054]]"
1229,"Jet Aviation Flight Services, Inc.",2486,292,"('PVR', 'BOS')",0.0005834828733363821,"[[-105.253997803, 20.6800994873], [-71.00520325, 42.36429977]]"
1230,United Air Lines Inc.,2121,347,"('PVR', 'BWI')",0.00031743182823223433,"[[-105.253997803, 20.6800994873], [-76.66829681, 39.17539978]]"
1231,Southwest Airlines Co.,691,150,"('PVR', 'CRP')",0.0003999453178336144,"[[-105.253997803, 20.6800994873], [-97.5011978149, 27.7703990936]]"
1232,United Air Lines Inc.,1322,7518,"('PVR', 'DEN')",0.00028245389317618243,"[[-105.253997803, 20.6800994873], [-104.672996521, 39.8616981506]]"
1233,Delta Air Lines Inc.,1956,6633,"('PVR', 'DTW')",0.0004270992025472847,"[[-105.253997803, 20.6800994873], [-83.3534011841, 42.2123985291]]"
1234,Avjet Corporation,769,114,"('PVR', 'ELP')",0.0008617112741334969,"[[-105.253997803, 20.6800994873], [-106.3779984, 31.80719948]]"
1235,United Air Lines Inc.,2287,2480,"('PVR', 'EWR')",0.0007294394266024748,"[[-105.253997803, 20.6800994873], [-74.1687011719, 40.6925010681]]"
1236,Southwest Airlines Co.,877,5024,"('PVR', 'HOU')",0.0003307054496474946,"[[-105.253997803, 20.6800994873], [-95.27890015, 29.64539909]]"
1237,United Air Lines Inc.,2076,368,"('PVR', 'IAD')",0.0008165868458779088,"[[-105.253997803, 20.6800994873], [-77.45580292, 38.94449997]]"
1238,United Air Lines Inc.,891,6000,"('PVR', 'IAH')",0.0007736834588667921,"[[-105.253997803, 20.6800994873], [-95.3414001465, 29.9843997955]]"
1239,American Airlines Inc.,1726,305,"('PVR', 'IND')",0.00021043485520662404,"[[-105.253997803, 20.6800994873], [-86.2944030762, 39.717300415]]"
1240,Delta Air Lines Inc.,1412,240,"('PVR', 'MGM')",0.0006840313406169495,"[[-105.253997803, 20.6800994873], [-86.39399719, 32.30059814]]"
1241,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",1623,210,"('PVR', 'MIA')",0.0020448805018312313,"[[-105.253997803, 20.6800994873], [-80.2906036377, 25.7931995392]]"
1242,Southwest Airlines Co.,1553,6976,"('PVR', 'OAK')",0.00022560472363378754,"[[-105.253997803, 20.6800994873], [-122.221000671, 37.7212982178]]"
1243,American Airlines Inc.,1783,17142,"('PVR', 'ORD')",0.0007866563867017788,"[[-105.253997803, 20.6800994873], [-87.90480042, 41.97859955]]"
1244,Alaska Airlines Inc.,1980,2228,"('PVR', 'PDX')",0.0003482416196819218,"[[-105.253997803, 20.6800994873], [-122.5979996, 45.58869934]]"
1245,Miami Air International,2211,280,"('PVR', 'PHL')",0.0003626097927792107,"[[-105.253997803, 20.6800994873], [-75.2410964966, 39.8718986511]]"
1246,American Airlines Inc.,971,6454,"('PVR', 'PHX')",0.00046861316554694973,"[[-105.253997803, 20.6800994873], [-112.012001038, 33.434299469]]"
1247,Miami Air International,2008,798,"('PVR', 'PIT')",0.00021542362861943706,"[[-105.253997803, 20.6800994873], [-80.23290253, 40.49150085]]"
1248,American Airlines Inc.,743,126,"('PVR', 'SAT')",0.0004003836280816885,"[[-105.253997803, 20.6800994873], [-98.4698028564, 29.533700943]]"
1249,Alaska Airlines Inc.,1554,6003,"('PVR', 'SFO')",0.0006392175633928896,"[[-105.253997803, 20.6800994873], [-122.375, 37.6189994812]]"
1250,"Jet Aviation Flight Services, Inc.",1524,214,"('PVR', 'SJC')",0.0004615275589895496,"[[-105.253997803, 20.6800994873], [-121.929000854, 37.3625984192]]"
1251,American Airlines Inc.,862,132,"('PVR', 'TUS')",0.00036755944649133576,"[[-105.253997803, 20.6800994873], [-110.941001892, 32.1161003113]]"
1252,Envoy Air,813,201,"('QRO', 'ABI')",0.00041217160855263273,"[[-100.185997009, 20.6173000336], [-99.6819000244, 32.4113006592]]"
1253,"Jet Aviation Flight Services, Inc.",875,147,"('QRO', 'ADS')",0.00044954511460133074,"[[-100.185997009, 20.6173000336], [-96.8364028931, 32.9686012268]]"
1254,Envoy Air,1010,173,"('QRO', 'AMA')",0.001884994128756171,"[[-100.185997009, 20.6173000336], [-101.706001282, 35.2193984985]]"
