,long,lat,degree,closeness,betweenness,pagerank
AIK,-81.6849975586,33.6493988037,1,0.2667517549457562,0.0,0.00022116230116136636
AKL,174.792007446,-37.0080986023,119,0.3120567375886525,0.007348243993566171,0.0008901646948020706
ALB,-73.8016967773,42.748298645,10,0.3365539452495974,0.000876539586702994,0.0009218808415675767
ALG,3.21540999413,36.6910018921,1,0.2991055456171735,0.0,0.00022326012321555403
AMA,-101.706001282,35.2193984985,3,0.26322418136020154,8.74180662848887e-06,0.000345139868053518
AMD,72.6346969604,23.0771999359,6,0.2879779538408543,0.0,0.00021923385193153567
AMM,35.9931983948,31.7226009369,40,0.31020408163265306,2.946549626177522e-05,0.0004203162912149021
AMS,4.76388978958,52.3086013794,722,0.38156093108169786,0.00622465229866735,0.003390839387660748
ANC,-149.996002197,61.1744003296,898,0.3676341248900616,0.0431611231880969,0.007353302796920124
ANF,-70.445098877,-23.4444999695,4,0.2926146307315366,0.0,0.00023402749612672297
ANR,4.46027994156,51.1893997192,3,0.2873839807493984,2.990334223146833e-05,0.0003418520422823089
ANU,-61.792702,17.1367,165,0.35772357723577236,0.004259658643616702,0.0025446876687802962
APA,-104.848999,39.57009888,4,0.312406576980568,5.2666194431152466e-05,0.00043499931100686586
APC,-122.280998,38.2132,3,0.296243798724309,9.572302757546348e-05,0.0004743946508042862
APF,-81.7752990723,26.1525993347,20,0.32327919566898683,0.0003233169817266322,0.0007125385547070991
APW,-172.007995605,-13.8299999237,12,0.25922480620155036,0.0,0.0002539824930098755
ARN,17.9186000824,59.6519012451,164,0.36081139404402246,0.002182861454987642,0.0017916264807056738
ASD,-77.7956008911,24.6979007721,2,0.2806310842564619,0.0,0.00022514406375952954
ASE,-106.8690033,39.22320175,5,0.29353932584269665,0.00011822672549061996,0.0005561764738001037
ASN,-86.0509033203,33.5699005127,1,0.31835491241431835,0.0,0.00024070039210160872
ASU,-57.5200004578,-25.2399997711,31,0.2926146307315366,0.0,0.00023402749612672297
ATH,23.9444999695,37.9364013672,35,0.32141484044598234,0.00038549494765488334,0.0009527052712213965
ATL,-84.4281005859,33.6366996765,2054,0.40980392156862744,0.04015736555806013,0.012575266511696603
ATW,-88.5190963745,44.2580986023,1,0.29878484631879915,0.0,0.00022675166003872119
AUA,-70.0151977539,12.5013999939,404,0.3592608508809626,0.006929921960514801,0.0029848217526965213
AUH,54.6511001587,24.4330005646,75,0.3313515655965121,0.00018302903329503237,0.0006337630556046285
AUS,-97.6698989868,30.1944999695,193,0.36731107205623903,0.011670102717115492,0.004390215502270416
AVP,-75.7233963013,41.3385009766,4,0.32605304212168484,4.8983241754344884e-05,0.000447721789064785
AVV,144.468994141,-38.0393981934,1,0.25922480620155036,0.0,0.0002539824930098755
AXA,-63.0550994873,18.2047996521,39,0.31159150204994407,0.0005960644369656701,0.0007181212610257583
AXM,-75.7664,4.45278,20,0.2806310842564619,0.0,0.00022514406375952954
AZA,-111.6549988,33.30780029,106,0.312406576980568,0.00012886962533631362,0.0009206675753362944
BAH,50.6335983276,26.2707996368,19,0.2741882584453919,0.0,0.00021920559565274028
BAQ,-74.7808,10.8896,42,0.2926146307315366,0.0,0.00023402749612672297
BBU,26.1021003723,44.503200531,12,0.28639945186707777,0.0,0.00022097396173272532
BCN,2.0784599781,41.2971000671,220,0.3733809736489504,0.002781764048676292,0.0022609438531973943
BCT,-80.1076965332,26.3784999847,7,0.32965299684542587,0.00045260719973533466,0.0008352783863392532
BDA,-64.6787033081,32.3639984131,183,0.35378755818874313,0.006499033052271947,0.002762444402345133
BDL,-72.6831970215,41.9388999939,104,0.3387358184764992,0.000797106178946701,0.0017610668552762508
